state_fips,county_fips,year,race,age_adjusted_rate,weight
48,273,2008,0,4391.2,177.63727086397157
48,273,2007,0,5461,177.11578134090706
48,273,2006,0,4666.6,176.49079296099274
48,273,2005,0,5697,176.75406643129884
48,273,2004,0,5172,177.0931958037914
48,273,2003,0,4310,177.0282463337419
48,273,2002,0,4974.5,177.23712929293342
48,273,2001,0,6690.9,176.96044755820438
48,273,2000,0,5203.8,177.73575892318348
48,273,1999,0,4843.8,177.4739417492044
48,275,2016,0,4795.4,61.69278726074872
48,275,2015,0,5770.2,62.056425936400814
48,275,2014,0,5362.9,62.056425936400814
48,275,2013,0,5284.4,61.35144660071187
48,275,2012,0,4480.2,61.326992425847855
48,275,2011,0,5215.9,61.155539405682624
48,275,2010,0,5803.2,61.0163912403872
48,275,2009,0,4189.9,60.390396587537
48,275,2008,0,6155.8,60.41522986797286
48,275,2007,0,4443.3,61
48,275,2006,0,4292.5,61.54673021371647
48,275,2005,0,5394.7,61.82232606429493
48,275,2004,0,4731,62.76941930590086
48,275,2003,0,4727.4,63.387695966961914
48,275,2002,0,5814.5,63.592452382338585
48,275,2001,0,5969.1,63.796551630946325
48,275,2000,0,5577.9,65.21502894272147
48,275,1999,0,5562.2,65.1766829472013
48,277,2017,0,4950.4,0
48,277,2016,0,4689.1,223.1389701508905
48,277,2015,0,5284.5,222.79138223908032
48,277,2014,0,5152.2,222.6791413671249
48,277,2013,0,5483.3,221.98648607516628
48,277,2012,0,5538.2,223.242021134015
48,277,2011,0,4844.9,223.48378017207423
48,277,2010,0,5071.3,223.19946236494388
48,277,2009,0,5620.3,222.71057451320087
48,277,2008,0,5665.4,222.4117802635463
48,277,2007,0,5464.8,222.23186090207676
48,277,2006,0,5270.9,222.2296109882749
48,277,2005,0,5482.2,222.13509403063713
48,277,2004,0,5510.5,221.88510540367508
48,277,2003,0,5334.3,221.71828972820444
48,277,2002,0,5180.5,220.9660607423683
48,277,2001,0,5355.3,220.27709821949261
48,277,2000,0,5661,220.44500447957535
48,277,1999,0,5803.5,219.11868929874512
48,279,2017,0,3955.5,0
48,279,2016,0,5145.9,115.21718621802913
48,279,2015,0,5239.2,115.50757550914139
48,279,2014,0,5000.7,116.3915804515086
48,279,2013,0,6041.2,117.14094075087498
48,279,2012,0,4583.1,117.9703352542494
48,279,2011,0,5384.9,118.71815362445628
48,279,2010,0,5606.7,118.31736981525579
48,279,2009,0,4710.7,117.43508845315355
48,279,2008,0,5203.9,118.4736257569591
48,279,2007,0,4940.4,119.45710527214361
48,279,2006,0,5312.6,119.74138799930456
48,279,2005,0,5019,120.76009274590675
48,279,2004,0,4434.7,120.76423311560423
48,279,2003,0,6073.3,121.14041439585718
48,279,2002,0,5399.5,121.07022755409358
48,279,2001,0,5044.5,120.68968472906042
48,279,2000,0,5928,121.09087496587016
48,279,1999,0,5412,121.4454610102823
48,281,2017,0,4264.2,0
48,281,2016,0,4463.8,144.08330923462302
48,281,2015,0,3850.2,143.19567032560727
48,281,2014,0,4044.3,142.1407752898513
48,281,2013,0,4672.4,142.11614968046382
48,281,2012,0,4668,141.8344104933637
48,281,2011,0,4804.3,141.24446891825534
48,281,2010,0,5428.6,140.5560386465128
48,281,2009,0,4133.3,140.18559127100045
48,281,2008,0,5795.5,140.75510647930327
48,281,2007,0,5285.4,140.4563989286355
48,281,2006,0,4893.8,139.54210834009928
48,281,2005,0,5195,137.49909090608563
48,281,2004,0,5339.6,140.22838514366484
48,281,2003,0,4821.3,136.3048054912225
48,281,2002,0,5809,135.73871960498226
48,281,2001,0,5280.9,134.2646640036015
48,281,2000,0,5246.5,133.79088160259653
48,281,1999,0,4260.6,131.61686821984483
48,283,2016,0,4953.5,87.25250712730265
48,283,2015,0,4717.5,87.39565206576354
48,283,2014,0,4011.7,86.42337646724988
48,283,2013,0,4882.1,86.19164692706596
48,283,2012,0,3830.8,84.50443775329198
48,283,2011,0,6113,83.63611660042568
48,283,2010,0,5184.7,83.07225770376053
48,283,2009,0,3951.9,82.28608630868283
48,283,2008,0,4816.5,81.5659242576212
48,283,2007,0,3567.8,81.70067319184096
48,283,2006,0,6134.6,80.92589202474076
48,283,2005,0,6182.9,80.88263101556477
48,283,2004,0,4843.1,79.51100552753688
48,283,2003,0,2980.3,78.54298186343577
48,283,2002,0,7433.2,78.08969202141856
48,283,2001,0,5799.6,77.03246069028303
48,283,2000,0,5355.1,76.79843748410511
48,283,1999,0,6761.3,76.34788798650555
48,285,2016,0,4273.2,140.7444492688788
48,285,2015,0,4800,140.78707327024026
48,285,2014,0,4637.4,140.27116596079182
48,285,2013,0,4961.7,139.73188612482122
48,285,2012,0,4314.1,139.4238143216574
48,285,2011,0,3572.2,138.62178760930766
48,285,2010,0,3877.2,138.729953506804
48,285,2009,0,4571.2,138.6578522839583
48,285,2008,0,4088.1,138.50992744204294
48,285,2007,0,4270.9,138.70111751532502
48,285,2006,0,5100.1,138.49548729110273
48,285,2005,0,3583.2,138.50992744204294
