state,county,percent_high_conditional_tested,ihs_bll,race,year,weight,unemp_rate,median_income,percent_non_white,lead_emitted,ap,state_county
20,71,0,0,0,2005,3,0.04,36588,0.01154734380543232,0,0,754
20,73,7.079646110534668,2.6553220748901367,0,2012,10.630146026611328,0.055999999999999994,41382,0.027173912152647972,0,5035,755
20,73,4.790419101715088,2.2704854011535645,0,2011,12.922847747802734,0.066,35765,0.02588164061307907,0,3791,755
20,73,1.7751479148864746,1.338307499885559,0,2010,13,0.076,35146,0.024876367300748825,0,2584,755
20,73,1.6574585437774658,1.2790484428405762,0,2009,13.45362377166748,0.066,36061,0.022159429267048836,0,2949,755
20,73,5.93220329284668,2.480572462081909,0,2008,10.862780570983887,0.053,36704,0.020683584734797478,0,3073,755
20,73,5.042016983032227,2.320645332336426,0,2007,10.908712387084961,0.046,33714,0.01897369511425495,0,2871,755
20,73,3.125,1.8572508096694946,0,2006,9.797959327697754,0.046,33388,0.0187211986631155,0,2738,755
20,73,4.081632614135742,2.114323616027832,0,2005,9.899495124816895,0.053,32760,0.017031293362379074,0,2314,755
20,75,0,0,0,2012,2.4494898319244385,0.027000000000000003,43380,0.03567362576723099,0,0,756
20,75,0,0,0,2011,3.316624879837036,0.027999999999999997,43679,0.03537466749548912,0,0,756
20,75,0,0,0,2010,2.4494898319244385,0.031,42586,0.030672580003738403,0,0,756
20,75,0,0,0,2009,2.2360680103302,0.039,42589,0.02922442927956581,0,0,756
20,75,0,0,0,2008,2.4494898319244385,0.034,42390,0.02880970388650894,0,0,756
20,77,0,0,0,2012,4.123105525970459,0.043,41399,0.029356544837355614,0,15482,757
20,77,3.7037036418914795,2.02022647857666,0,2011,5.196152210235596,0.057,39104,0.02845596894621849,0,15529,757
20,77,0,0,0,2010,4.690415859222412,0.063,37468,0.024426719173789024,0,14553,757
20,77,0,0,0,2009,4,0.051,38022,0.02190871350467205,0,15218,757
20,77,0,0,0,2008,3.7416574954986572,0.032,37575,0.02160646580159664,0,13751,757
20,77,0,0,0,2007,3.464101552963257,0.03,39367,0.020840279757976532,0,13397,757
20,77,0,0,0,2006,3,0.032,33591,0.019176723435521126,0,11919,757
20,77,0,0,0,2005,3.605551242828369,0.037000000000000005,32424,0.017028868198394775,0,9887,757
20,79,1.0101009607315063,0.888498067855835,0,2012,14.071247100830078,0.054000000000000006,49624,0.04279227554798126,124.25,131384,758
20,79,0.251889169216156,0.2492988109588623,0,2011,19.92485809326172,0.062,50958,0.042585067451000214,129.1319990158081,126992,758
20,79,0.27173912525177,0.26850131154060364,0,2010,19.183326721191406,0.07200000000000001,46941,0.04142199084162712,121.13999652862549,116962,758
20,79,0.5730658769607544,0.5455923080444336,0,2009,18.681541442871094,0.07,48312,0.0399455800652504,144.1499946117401,132444,758
20,79,1.5463917255401611,1.2202242612838745,0,2008,13.928388595581055,0.039,50640,0.03912455216050148,259.57999873161316,163409,758
20,79,2,1.4436354637145996,0,2007,12.247448921203613,0.037000000000000005,46051,0.03840581700205803,264.0299987792969,148456,758
20,79,1.8292683362960815,1.3645670413970947,0,2006,12.806248664855957,0.044000000000000004,46423,0.0379987508058548,451.05999755859375,139356,758
20,79,1.6129032373428345,1.2558022737503052,0,2005,15.748015403747559,0.045,44032,0.036405887454748154,531.2000268548727,140965,758
20,81,0,0,0,2012,5.656854152679443,0.034,53430,0.030505243688821793,0,2190,759
20,81,0,0,0,2011,7,0.035,54340,0.032258063554763794,0,2169,759
20,81,0,0,0,2010,6.928203105926514,0.036000000000000004,51257,0.026445120573043823,0,2170,759
20,81,0,0,0,2009,5.4772257804870605,0.033,51145,0.023877745494246483,0,2398,759
20,81,0,0,0,2008,4.795831680297852,0.027000000000000003,48810,0.021189501509070396,0,1774,759
20,81,0,0,0,2007,4.242640495300293,0.028999999999999998,46383,0.020076481625437737,0,1269,759
20,81,0,0,0,2006,4.795831680297852,0.028999999999999998,42447,0.018890483304858208,0,0,759
20,81,0,0,0,2005,9.05538558959961,0.031,43824,0.01576470583677292,0,0,759
20,83,0,0,0,2012,5.74456262588501,0.034,51276,0.02291242405772209,0,0,760
20,83,2.17391300201416,1.5188122987747192,0,2011,6.78233003616333,0.038,45992,0.02464788779616356,0,0,760
20,83,0,0,0,2010,6.557438373565674,0.037000000000000005,43338,0.02140992134809494,0,0,760
20,83,0,0,0,2009,6.928203105926514,0.04,42816,0.01866251975297928,0,0,760
20,83,0,0,0,2008,6.7082037925720215,0.034,44829,0.01847101002931595,0,0,760
20,83,0,0,0,2007,6,0.04,41458,0.018376722931861877,0,0,760
20,83,0,0,0,2006,6.082762718200684,0.035,39016,0.01776023767888546,0,0,760
20,83,0,0,0,2005,6.164413928985596,0.039,40733,0.013248282484710217,0,0,760
20,85,0.6944444179534912,0.6481093168258667,0,2012,12,0.055999999999999994,50943,0.11261831969022751,0,7229,761
20,85,0.49504950642585754,0.476779580116272,0,2011,14.21267032623291,0.06,50342,0.10871504992246628,0,6701,761
20,85,0,0,0,2010,13.379088401794434,0.062,50709,0.10681413114070892,0,5803,761
20,85,0,0,0,2009,14.247806549072266,0.07,48900,0.10202708095312119,0,5958,761
20,85,1.1299434900283813,0.9703398942947388,0,2008,13.304134368896484,0.057999999999999996,49678,0.10124669224023819,0,6435,761
20,85,1.7857142686843872,1.3434818983078003,0,2007,12.961481094360352,0.055,47899,0.09874138236045837,0,5969,761
20,85,1.8518518209457397,1.375348448753357,0,2006,12.727922439575195,0.053,46109,0.09845761954784393,0,0,761
20,85,3.4482758045196533,1.9514127969741821,0,2005,12.041594505310059,0.057999999999999996,43669,0.09197724610567093,0,0,761
20,87,0,0,0,2012,9.591663360595703,0.061,55057,0.025527192279696465,0,9822,762
20,87,0,0,0,2011,11,0.071,57046,0.02333666943013668,0,8251,762
